Sr89 - 5mm - Bone compact			
i	j	k	S [mGy/(MBqús)]
0	0	0	3.09E-01
0	0	1	1.38E-02
0	0	2	1.95E-06
0	0	3	6.96E-07
0	0	4	3.44E-07
0	0	5	2.00E-07
0	1	0	1.38E-02
0	1	1	8.68E-04
0	1	2	1.47E-06
0	1	3	6.11E-07
0	1	4	3.20E-07
0	1	5	1.91E-07
0	2	0	1.95E-06
0	2	1	1.47E-06
0	2	2	8.09E-07
0	2	3	4.43E-07
0	2	4	2.63E-07
0	2	5	1.67E-07
0	3	0	6.96E-07
0	3	1	6.11E-07
0	3	2	4.43E-07
0	3	3	2.97E-07
0	3	4	2.01E-07
0	3	5	1.38E-07
0	4	0	3.44E-07
0	4	1	3.20E-07
0	4	2	2.63E-07
0	4	3	2.01E-07
0	4	4	1.49E-07
0	4	5	1.10E-07
0	5	0	2.00E-07
0	5	1	1.91E-07
0	5	2	1.67E-07
0	5	3	1.38E-07
0	5	4	1.10E-07
0	5	5	8.66E-08
1	0	0	1.38E-02
1	0	1	8.68E-04
1	0	2	1.47E-06
1	0	3	6.11E-07
1	0	4	3.20E-07
1	0	5	1.91E-07
1	1	0	8.68E-04
1	1	1	6.36E-05
1	1	2	1.16E-06
1	1	3	5.44E-07
1	1	4	2.98E-07
1	1	5	1.83E-07
1	2	0	1.47E-06
1	2	1	1.16E-06
1	2	2	6.98E-07
1	2	3	4.05E-07
1	2	4	2.47E-07
1	2	5	1.61E-07
1	3	0	6.11E-07
1	3	1	5.44E-07
1	3	2	4.05E-07
1	3	3	2.78E-07
1	3	4	1.91E-07
1	3	5	1.34E-07
1	4	0	3.20E-07
1	4	1	2.98E-07
1	4	2	2.47E-07
1	4	3	1.91E-07
1	4	4	1.43E-07
1	4	5	1.07E-07
1	5	0	1.91E-07
1	5	1	1.83E-07
1	5	2	1.61E-07
1	5	3	1.34E-07
1	5	4	1.07E-07
1	5	5	8.44E-08
2	0	0	1.95E-06
2	0	1	1.47E-06
2	0	2	8.09E-07
2	0	3	4.43E-07
2	0	4	2.63E-07
2	0	5	1.67E-07
2	1	0	1.47E-06
2	1	1	1.16E-06
2	1	2	6.98E-07
2	1	3	4.05E-07
2	1	4	2.47E-07
2	1	5	1.61E-07
2	2	0	8.09E-07
2	2	1	6.98E-07
2	2	2	4.89E-07
2	2	3	3.19E-07
2	2	4	2.10E-07
2	2	5	1.44E-07
2	3	0	4.43E-07
2	3	1	4.05E-07
2	3	2	3.19E-07
2	3	3	2.34E-07
2	3	4	1.67E-07
2	3	5	1.21E-07
2	4	0	2.63E-07
2	4	1	2.47E-07
2	4	2	2.10E-07
2	4	3	1.67E-07
2	4	4	1.29E-07
2	4	5	9.81E-08
2	5	0	1.67E-07
2	5	1	1.61E-07
2	5	2	1.44E-07
2	5	3	1.21E-07
2	5	4	9.81E-08
2	5	5	7.83E-08
3	0	0	6.96E-07
3	0	1	6.11E-07
3	0	2	4.43E-07
3	0	3	2.97E-07
3	0	4	2.01E-07
3	0	5	1.38E-07
3	1	0	6.11E-07
3	1	1	5.44E-07
3	1	2	4.05E-07
3	1	3	2.78E-07
3	1	4	1.91E-07
3	1	5	1.34E-07
3	2	0	4.43E-07
3	2	1	4.05E-07
3	2	2	3.19E-07
3	2	3	2.34E-07
3	2	4	1.67E-07
3	2	5	1.21E-07
3	3	0	2.97E-07
3	3	1	2.78E-07
3	3	2	2.34E-07
3	3	3	1.82E-07
3	3	4	1.38E-07
3	3	5	1.04E-07
3	4	0	2.01E-07
3	4	1	1.91E-07
3	4	2	1.67E-07
3	4	3	1.38E-07
3	4	4	1.10E-07
3	4	5	8.61E-08
3	5	0	1.38E-07
3	5	1	1.34E-07
3	5	2	1.21E-07
3	5	3	1.04E-07
3	5	4	8.61E-08
3	5	5	7.01E-08
4	0	0	3.44E-07
4	0	1	3.20E-07
4	0	2	2.63E-07
4	0	3	2.01E-07
4	0	4	1.49E-07
4	0	5	1.10E-07
4	1	0	3.20E-07
4	1	1	2.98E-07
4	1	2	2.47E-07
4	1	3	1.91E-07
4	1	4	1.43E-07
4	1	5	1.07E-07
4	2	0	2.63E-07
4	2	1	2.47E-07
4	2	2	2.10E-07
4	2	3	1.67E-07
4	2	4	1.29E-07
4	2	5	9.81E-08
4	3	0	2.01E-07
4	3	1	1.91E-07
4	3	2	1.67E-07
4	3	3	1.38E-07
4	3	4	1.10E-07
4	3	5	8.61E-08
4	4	0	1.49E-07
4	4	1	1.43E-07
4	4	2	1.29E-07
4	4	3	1.10E-07
4	4	4	9.08E-08
4	4	5	7.33E-08
4	5	0	1.10E-07
4	5	1	1.07E-07
4	5	2	9.81E-08
4	5	3	8.61E-08
4	5	4	7.33E-08
4	5	5	6.08E-08
5	0	0	2.00E-07
5	0	1	1.91E-07
5	0	2	1.67E-07
5	0	3	1.38E-07
5	0	4	1.10E-07
5	0	5	8.66E-08
5	1	0	1.91E-07
5	1	1	1.83E-07
5	1	2	1.61E-07
5	1	3	1.34E-07
5	1	4	1.07E-07
5	1	5	8.44E-08
5	2	0	1.67E-07
5	2	1	1.61E-07
5	2	2	1.44E-07
5	2	3	1.21E-07
5	2	4	9.81E-08
5	2	5	7.83E-08
5	3	0	1.38E-07
5	3	1	1.34E-07
5	3	2	1.21E-07
5	3	3	1.04E-07
5	3	4	8.61E-08
5	3	5	7.01E-08
5	4	0	1.10E-07
5	4	1	1.07E-07
5	4	2	9.81E-08
5	4	3	8.61E-08
5	4	4	7.33E-08
5	4	5	6.08E-08
5	5	0	8.66E-08
5	5	1	8.44E-08
5	5	2	7.83E-08
5	5	3	7.01E-08
5	5	4	6.08E-08
5	5	5	5.19E-08
