Sr89 - 5mm - Soft tissue			
i	j	k	S [mGy/(MBq·s)]
0	0	0	4.50E-01
0	0	1	3.53E-02
0	0	2	4.08E-06
0	0	3	5.25E-07
0	0	4	2.63E-07
0	0	5	1.54E-07
0	1	0	3.53E-02
0	1	1	4.25E-03
0	1	2	1.42E-06
0	1	3	4.61E-07
0	1	4	2.44E-07
0	1	5	1.49E-07
0	2	0	4.08E-06
0	2	1	1.42E-06
0	2	2	6.08E-07
0	2	3	3.36E-07
0	2	4	2.02E-07
0	2	5	1.31E-07
0	3	0	5.25E-07
0	3	1	4.61E-07
0	3	2	3.36E-07
0	3	3	2.29E-07
0	3	4	1.56E-07
0	3	5	1.09E-07
0	4	0	2.63E-07
0	4	1	2.44E-07
0	4	2	2.02E-07
0	4	3	1.56E-07
0	4	4	1.17E-07
0	4	5	8.85E-08
0	5	0	1.54E-07
0	5	1	1.49E-07
0	5	2	1.31E-07
0	5	3	1.09E-07
0	5	4	8.85E-08
0	5	5	7.12E-08
1	0	0	3.53E-02
1	0	1	4.25E-03
1	0	2	1.42E-06
1	0	3	4.61E-07
1	0	4	2.44E-07
1	0	5	1.49E-07
1	1	0	4.25E-03
1	1	1	5.88E-04
1	1	2	9.14E-07
1	1	3	4.11E-07
1	1	4	2.28E-07
1	1	5	1.43E-07
1	2	0	1.42E-06
1	2	1	9.14E-07
1	2	2	5.26E-07
1	2	3	3.08E-07
1	2	4	1.91E-07
1	2	5	1.26E-07
1	3	0	4.61E-07
1	3	1	4.11E-07
1	3	2	3.08E-07
1	3	3	2.15E-07
1	3	4	1.49E-07
1	3	5	1.06E-07
1	4	0	2.44E-07
1	4	1	2.28E-07
1	4	2	1.91E-07
1	4	3	1.49E-07
1	4	4	1.13E-07
1	4	5	8.58E-08
1	5	0	1.49E-07
1	5	1	1.43E-07
1	5	2	1.26E-07
1	5	3	1.06E-07
1	5	4	8.58E-08
1	5	5	6.92E-08
2	0	0	4.08E-06
2	0	1	1.42E-06
2	0	2	6.08E-07
2	0	3	3.36E-07
2	0	4	2.02E-07
2	0	5	1.31E-07
2	1	0	1.42E-06
2	1	1	9.14E-07
2	1	2	5.26E-07
2	1	3	3.08E-07
2	1	4	1.91E-07
2	1	5	1.26E-07
2	2	0	6.08E-07
2	2	1	5.26E-07
2	2	2	3.71E-07
2	2	3	2.44E-07
2	2	4	1.64E-07
2	2	5	1.13E-07
2	3	0	3.36E-07
2	3	1	3.08E-07
2	3	2	2.44E-07
2	3	3	1.81E-07
2	3	4	1.31E-07
2	3	5	9.65E-08
2	4	0	2.02E-07
2	4	1	1.91E-07
2	4	2	1.64E-07
2	4	3	1.31E-07
2	4	4	1.03E-07
2	4	5	7.94E-08
2	5	0	1.31E-07
2	5	1	1.26E-07
2	5	2	1.13E-07
2	5	3	9.65E-08
2	5	4	7.94E-08
2	5	5	6.51E-08
3	0	0	5.25E-07
3	0	1	4.61E-07
3	0	2	3.36E-07
3	0	3	2.29E-07
3	0	4	1.56E-07
3	0	5	1.09E-07
3	1	0	4.61E-07
3	1	1	4.11E-07
3	1	2	3.08E-07
3	1	3	2.15E-07
3	1	4	1.49E-07
3	1	5	1.06E-07
3	2	0	3.36E-07
3	2	1	3.08E-07
3	2	2	2.44E-07
3	2	3	1.81E-07
3	2	4	1.31E-07
3	2	5	9.65E-08
3	3	0	2.29E-07
3	3	1	2.15E-07
3	3	2	1.81E-07
3	3	3	1.41E-07
3	3	4	1.09E-07
3	3	5	8.40E-08
3	4	0	1.56E-07
3	4	1	1.49E-07
3	4	2	1.31E-07
3	4	3	1.09E-07
3	4	4	8.86E-08
3	4	5	7.04E-08
3	5	0	1.09E-07
3	5	1	1.06E-07
3	5	2	9.65E-08
3	5	3	8.40E-08
3	5	4	7.04E-08
3	5	5	5.85E-08
4	0	0	2.63E-07
4	0	1	2.44E-07
4	0	2	2.02E-07
4	0	3	1.56E-07
4	0	4	1.17E-07
4	0	5	8.85E-08
4	1	0	2.44E-07
4	1	1	2.28E-07
4	1	2	1.91E-07
4	1	3	1.49E-07
4	1	4	1.13E-07
4	1	5	8.58E-08
4	2	0	2.02E-07
4	2	1	1.91E-07
4	2	2	1.64E-07
4	2	3	1.31E-07
4	2	4	1.03E-07
4	2	5	7.94E-08
4	3	0	1.56E-07
4	3	1	1.49E-07
4	3	2	1.31E-07
4	3	3	1.09E-07
4	3	4	8.86E-08
4	3	5	7.04E-08
4	4	0	1.17E-07
4	4	1	1.13E-07
4	4	2	1.03E-07
4	4	3	8.86E-08
4	4	4	7.39E-08
4	4	5	6.10E-08
4	5	0	8.85E-08
4	5	1	8.58E-08
4	5	2	7.94E-08
4	5	3	7.04E-08
4	5	4	6.10E-08
4	5	5	5.22E-08
5	0	0	1.54E-07
5	0	1	1.49E-07
5	0	2	1.31E-07
5	0	3	1.09E-07
5	0	4	8.85E-08
5	0	5	7.12E-08
5	1	0	1.49E-07
5	1	1	1.43E-07
5	1	2	1.26E-07
5	1	3	1.06E-07
5	1	4	8.58E-08
5	1	5	6.92E-08
5	2	0	1.31E-07
5	2	1	1.26E-07
5	2	2	1.13E-07
5	2	3	9.65E-08
5	2	4	7.94E-08
5	2	5	6.51E-08
5	3	0	1.09E-07
5	3	1	1.06E-07
5	3	2	9.65E-08
5	3	3	8.40E-08
5	3	4	7.04E-08
5	3	5	5.85E-08
5	4	0	8.85E-08
5	4	1	8.58E-08
5	4	2	7.94E-08
5	4	3	7.04E-08
5	4	4	6.10E-08
5	4	5	5.22E-08
5	5	0	7.12E-08
5	5	1	6.92E-08
5	5	2	6.51E-08
5	5	3	5.85E-08
5	5	4	5.22E-08
5	5	5	4.48E-08
