Y90 - 2.33mm - Soft tissue			
i	j	k	S [mGy/(MBq·s)]
0	0	0	2.69E+00
0	0	1	5.05E-01
0	0	2	5.80E-02
0	0	3	7.25E-03
0	0	4	3.90E-04
0	0	5	4.34E-06
0	1	0	5.05E-01
0	1	1	1.97E-01
0	1	2	3.71E-02
0	1	3	4.91E-03
0	1	4	2.47E-04
0	1	5	3.13E-06
0	2	0	5.80E-02
0	2	1	3.71E-02
0	2	2	1.09E-02
0	2	3	1.47E-03
0	2	4	5.82E-05
0	2	5	1.87E-06
0	3	0	7.25E-03
0	3	1	4.91E-03
0	3	2	1.47E-03
0	3	3	1.60E-04
0	3	4	5.16E-06
0	3	5	1.44E-06
0	4	0	3.90E-04
0	4	1	2.47E-04
0	4	2	5.82E-05
0	4	3	5.16E-06
0	4	4	1.56E-06
0	4	5	1.15E-06
0	5	0	4.34E-06
0	5	1	3.13E-06
0	5	2	1.87E-06
0	5	3	1.44E-06
0	5	4	1.15E-06
0	5	5	9.05E-07
1	0	0	5.05E-01
1	0	1	1.97E-01
1	0	2	3.71E-02
1	0	3	4.91E-03
1	0	4	2.47E-04
1	0	5	3.13E-06
1	1	0	1.97E-01
1	1	1	1.02E-01
1	1	2	2.43E-02
1	1	3	3.31E-03
1	1	4	1.55E-04
1	1	5	2.47E-06
1	2	0	3.71E-02
1	2	1	2.43E-02
1	2	2	7.36E-03
1	2	3	9.71E-04
1	2	4	3.53E-05
1	2	5	1.73E-06
1	3	0	4.91E-03
1	3	1	3.31E-03
1	3	2	9.71E-04
1	3	3	9.96E-05
1	3	4	3.62E-06
1	3	5	1.39E-06
1	4	0	2.47E-04
1	4	1	1.55E-04
1	4	2	3.53E-05
1	4	3	3.62E-06
1	4	4	1.50E-06
1	4	5	1.12E-06
1	5	0	3.13E-06
1	5	1	2.47E-06
1	5	2	1.73E-06
1	5	3	1.39E-06
1	5	4	1.12E-06
1	5	5	8.82E-07
2	0	0	5.80E-02
2	0	1	3.71E-02
2	0	2	1.09E-02
2	0	3	1.47E-03
2	0	4	5.82E-05
2	0	5	1.87E-06
2	1	0	3.71E-02
2	1	1	2.43E-02
2	1	2	7.36E-03
2	1	3	9.71E-04
2	1	4	3.53E-05
2	1	5	1.73E-06
2	2	0	1.09E-02
2	2	1	7.36E-03
2	2	2	2.24E-03
2	2	3	2.59E-04
2	2	4	8.16E-06
2	2	5	1.49E-06
2	3	0	1.47E-03
2	3	1	9.71E-04
2	3	2	2.59E-04
2	3	3	2.27E-05
2	3	4	1.95E-06
2	3	5	1.26E-06
2	4	0	5.82E-05
2	4	1	3.53E-05
2	4	2	8.16E-06
2	4	3	1.95E-06
2	4	4	1.34E-06
2	4	5	1.03E-06
2	5	0	1.87E-06
2	5	1	1.73E-06
2	5	2	1.49E-06
2	5	3	1.26E-06
2	5	4	1.03E-06
2	5	5	8.28E-07
3	0	0	7.25E-03
3	0	1	4.91E-03
3	0	2	1.47E-03
3	0	3	1.60E-04
3	0	4	5.16E-06
3	0	5	1.44E-06
3	1	0	4.91E-03
3	1	1	3.31E-03
3	1	2	9.71E-04
3	1	3	9.96E-05
3	1	4	3.62E-06
3	1	5	1.39E-06
3	2	0	1.47E-03
3	2	1	9.71E-04
3	2	2	2.59E-04
3	2	3	2.27E-05
3	2	4	1.95E-06
3	2	5	1.26E-06
3	3	0	1.60E-04
3	3	1	9.96E-05
3	3	2	2.27E-05
3	3	3	2.86E-06
3	3	4	1.44E-06
3	3	5	1.08E-06
3	4	0	5.16E-06
3	4	1	3.62E-06
3	4	2	1.95E-06
3	4	3	1.44E-06
3	4	4	1.15E-06
3	4	5	9.07E-07
3	5	0	1.44E-06
3	5	1	1.39E-06
3	5	2	1.26E-06
3	5	3	1.08E-06
3	5	4	9.07E-07
3	5	5	7.48E-07
4	0	0	3.90E-04
4	0	1	2.47E-04
4	0	2	5.82E-05
4	0	3	5.16E-06
4	0	4	1.56E-06
4	0	5	1.15E-06
4	1	0	2.47E-04
4	1	1	1.55E-04
4	1	2	3.53E-05
4	1	3	3.62E-06
4	1	4	1.50E-06
4	1	5	1.12E-06
4	2	0	5.82E-05
4	2	1	3.53E-05
4	2	2	8.16E-06
4	2	3	1.95E-06
4	2	4	1.34E-06
4	2	5	1.03E-06
4	3	0	5.16E-06
4	3	1	3.62E-06
4	3	2	1.95E-06
4	3	3	1.44E-06
4	3	4	1.15E-06
4	3	5	9.07E-07
4	4	0	1.56E-06
4	4	1	1.50E-06
4	4	2	1.34E-06
4	4	3	1.15E-06
4	4	4	9.52E-07
4	4	5	7.76E-07
4	5	0	1.15E-06
4	5	1	1.12E-06
4	5	2	1.03E-06
4	5	3	9.07E-07
4	5	4	7.76E-07
4	5	5	6.54E-07
5	0	0	4.34E-06
5	0	1	3.13E-06
5	0	2	1.87E-06
5	0	3	1.44E-06
5	0	4	1.15E-06
5	0	5	9.05E-07
5	1	0	3.13E-06
5	1	1	2.47E-06
5	1	2	1.73E-06
5	1	3	1.39E-06
5	1	4	1.12E-06
5	1	5	8.82E-07
5	2	0	1.87E-06
5	2	1	1.73E-06
5	2	2	1.49E-06
5	2	3	1.26E-06
5	2	4	1.03E-06
5	2	5	8.28E-07
5	3	0	1.44E-06
5	3	1	1.39E-06
5	3	2	1.26E-06
5	3	3	1.08E-06
5	3	4	9.07E-07
5	3	5	7.48E-07
5	4	0	1.15E-06
5	4	1	1.12E-06
5	4	2	1.03E-06
5	4	3	9.07E-07
5	4	4	7.76E-07
5	4	5	6.54E-07
5	5	0	9.05E-07
5	5	1	8.82E-07
5	5	2	8.28E-07
5	5	3	7.48E-07
5	5	4	6.54E-07
5	5	5	5.66E-07
