Y90 - 2.4mm - Bone compact			
i	j	k	S [mGy/(MBq·s)]
0	0	0	2.31E+00
0	0	1	3.40E-01
0	0	2	8.90E-03
0	0	3	2.90E-05
0	0	4	4.44E-06
0	0	5	2.59E-06
0	1	0	3.40E-01
0	1	1	9.04E-02
0	1	2	3.36E-03
0	1	3	1.38E-05
0	1	4	4.13E-06
0	1	5	2.46E-06
0	2	0	8.90E-03
0	2	1	3.36E-03
0	2	2	1.42E-04
0	2	3	5.84E-06
0	2	4	3.39E-06
0	2	5	2.16E-06
0	3	0	2.90E-05
0	3	1	1.38E-05
0	3	2	5.84E-06
0	3	3	3.86E-06
0	3	4	2.58E-06
0	3	5	1.79E-06
0	4	0	4.44E-06
0	4	1	4.13E-06
0	4	2	3.39E-06
0	4	3	2.58E-06
0	4	4	1.93E-06
0	4	5	1.43E-06
0	5	0	2.59E-06
0	5	1	2.46E-06
0	5	2	2.16E-06
0	5	3	1.79E-06
0	5	4	1.43E-06
0	5	5	1.14E-06
1	0	0	3.40E-01
1	0	1	9.04E-02
1	0	2	3.36E-03
1	0	3	1.38E-05
1	0	4	4.13E-06
1	0	5	2.46E-06
1	1	0	9.04E-02
1	1	1	2.99E-02
1	1	2	1.26E-03
1	1	3	8.75E-06
1	1	4	3.85E-06
1	1	5	2.35E-06
1	2	0	3.36E-03
1	2	1	1.26E-03
1	2	2	5.35E-05
1	2	3	5.28E-06
1	2	4	3.19E-06
1	2	5	2.07E-06
1	3	0	1.38E-05
1	3	1	8.75E-06
1	3	2	5.28E-06
1	3	3	3.60E-06
1	3	4	2.47E-06
1	3	5	1.73E-06
1	4	0	4.13E-06
1	4	1	3.85E-06
1	4	2	3.19E-06
1	4	3	2.47E-06
1	4	4	1.85E-06
1	4	5	1.40E-06
1	5	0	2.46E-06
1	5	1	2.35E-06
1	5	2	2.07E-06
1	5	3	1.73E-06
1	5	4	1.40E-06
1	5	5	1.11E-06
2	0	0	8.90E-03
2	0	1	3.36E-03
2	0	2	1.42E-04
2	0	3	5.84E-06
2	0	4	3.39E-06
2	0	5	2.16E-06
2	1	0	3.36E-03
2	1	1	1.26E-03
2	1	2	5.35E-05
2	1	3	5.28E-06
2	1	4	3.19E-06
2	1	5	2.07E-06
2	2	0	1.42E-04
2	2	1	5.35E-05
2	2	2	7.39E-06
2	2	3	4.13E-06
2	2	4	2.71E-06
2	2	5	1.85E-06
2	3	0	5.84E-06
2	3	1	5.28E-06
2	3	2	4.13E-06
2	3	3	3.01E-06
2	3	4	2.16E-06
2	3	5	1.57E-06
2	4	0	3.39E-06
2	4	1	3.19E-06
2	4	2	2.71E-06
2	4	3	2.16E-06
2	4	4	1.67E-06
2	4	5	1.29E-06
2	5	0	2.16E-06
2	5	1	2.07E-06
2	5	2	1.85E-06
2	5	3	1.57E-06
2	5	4	1.29E-06
2	5	5	1.04E-06
3	0	0	2.90E-05
3	0	1	1.38E-05
3	0	2	5.84E-06
3	0	3	3.86E-06
3	0	4	2.58E-06
3	0	5	1.79E-06
3	1	0	1.38E-05
3	1	1	8.75E-06
3	1	2	5.28E-06
3	1	3	3.60E-06
3	1	4	2.47E-06
3	1	5	1.73E-06
3	2	0	5.84E-06
3	2	1	5.28E-06
3	2	2	4.13E-06
3	2	3	3.01E-06
3	2	4	2.16E-06
3	2	5	1.57E-06
3	3	0	3.86E-06
3	3	1	3.60E-06
3	3	2	3.01E-06
3	3	3	2.35E-06
3	3	4	1.79E-06
3	3	5	1.36E-06
3	4	0	2.58E-06
3	4	1	2.47E-06
3	4	2	2.16E-06
3	4	3	1.79E-06
3	4	4	1.44E-06
3	4	5	1.14E-06
3	5	0	1.79E-06
3	5	1	1.73E-06
3	5	2	1.57E-06
3	5	3	1.36E-06
3	5	4	1.14E-06
3	5	5	9.34E-07
4	0	0	4.44E-06
4	0	1	4.13E-06
4	0	2	3.39E-06
4	0	3	2.58E-06
4	0	4	1.93E-06
4	0	5	1.43E-06
4	1	0	4.13E-06
4	1	1	3.85E-06
4	1	2	3.19E-06
4	1	3	2.47E-06
4	1	4	1.85E-06
4	1	5	1.40E-06
4	2	0	3.39E-06
4	2	1	3.19E-06
4	2	2	2.71E-06
4	2	3	2.16E-06
4	2	4	1.67E-06
4	2	5	1.29E-06
4	3	0	2.58E-06
4	3	1	2.47E-06
4	3	2	2.16E-06
4	3	3	1.79E-06
4	3	4	1.44E-06
4	3	5	1.14E-06
4	4	0	1.93E-06
4	4	1	1.85E-06
4	4	2	1.67E-06
4	4	3	1.44E-06
4	4	4	1.19E-06
4	4	5	9.75E-07
4	5	0	1.43E-06
4	5	1	1.40E-06
4	5	2	1.29E-06
4	5	3	1.14E-06
4	5	4	9.75E-07
4	5	5	8.23E-07
5	0	0	2.59E-06
5	0	1	2.46E-06
5	0	2	2.16E-06
5	0	3	1.79E-06
5	0	4	1.43E-06
5	0	5	1.14E-06
5	1	0	2.46E-06
5	1	1	2.35E-06
5	1	2	2.07E-06
5	1	3	1.73E-06
5	1	4	1.40E-06
5	1	5	1.11E-06
5	2	0	2.16E-06
5	2	1	2.07E-06
5	2	2	1.85E-06
5	2	3	1.57E-06
5	2	4	1.29E-06
5	2	5	1.04E-06
5	3	0	1.79E-06
5	3	1	1.73E-06
5	3	2	1.57E-06
5	3	3	1.36E-06
5	3	4	1.14E-06
5	3	5	9.34E-07
5	4	0	1.43E-06
5	4	1	1.40E-06
5	4	2	1.29E-06
5	4	3	1.14E-06
5	4	4	9.75E-07
5	4	5	8.23E-07
5	5	0	1.14E-06
5	5	1	1.11E-06
5	5	2	1.04E-06
5	5	3	9.34E-07
5	5	4	8.23E-07
5	5	5	7.06E-07
