Y90 - 4.42mm - Bone compact			
i	j	k	S [mGy/(MBqús)]
0	0	0	5.58E-01
0	0	1	4.87E-02
0	0	2	1.67E-05
0	0	3	2.08E-06
0	0	4	1.05E-06
0	0	5	6.22E-07
0	1	0	4.87E-02
0	1	1	6.43E-03
0	1	2	5.83E-06
0	1	3	1.83E-06
0	1	4	9.75E-07
0	1	5	5.92E-07
0	2	0	1.67E-05
0	2	1	5.83E-06
0	2	2	2.41E-06
0	2	3	1.34E-06
0	2	4	8.05E-07
0	2	5	5.21E-07
0	3	0	2.08E-06
0	3	1	1.83E-06
0	3	2	1.34E-06
0	3	3	9.13E-07
0	3	4	6.21E-07
0	3	5	4.34E-07
0	4	0	1.05E-06
0	4	1	9.75E-07
0	4	2	8.05E-07
0	4	3	6.21E-07
0	4	4	4.65E-07
0	4	5	3.49E-07
0	5	0	6.22E-07
0	5	1	5.92E-07
0	5	2	5.21E-07
0	5	3	4.34E-07
0	5	4	3.49E-07
0	5	5	2.76E-07
1	0	0	4.87E-02
1	0	1	6.43E-03
1	0	2	5.83E-06
1	0	3	1.83E-06
1	0	4	9.75E-07
1	0	5	5.92E-07
1	1	0	6.43E-03
1	1	1	9.78E-04
1	1	2	3.65E-06
1	1	3	1.63E-06
1	1	4	9.13E-07
1	1	5	5.67E-07
1	2	0	5.83E-06
1	2	1	3.65E-06
1	2	2	2.09E-06
1	2	3	1.23E-06
1	2	4	7.61E-07
1	2	5	5.02E-07
1	3	0	1.83E-06
1	3	1	1.63E-06
1	3	2	1.23E-06
1	3	3	8.55E-07
1	3	4	5.93E-07
1	3	5	4.19E-07
1	4	0	9.75E-07
1	4	1	9.13E-07
1	4	2	7.61E-07
1	4	3	5.93E-07
1	4	4	4.49E-07
1	4	5	3.39E-07
1	5	0	5.92E-07
1	5	1	5.67E-07
1	5	2	5.02E-07
1	5	3	4.19E-07
1	5	4	3.39E-07
1	5	5	2.70E-07
2	0	0	1.67E-05
2	0	1	5.83E-06
2	0	2	2.41E-06
2	0	3	1.34E-06
2	0	4	8.05E-07
2	0	5	5.21E-07
2	1	0	5.83E-06
2	1	1	3.65E-06
2	1	2	2.09E-06
2	1	3	1.23E-06
2	1	4	7.61E-07
2	1	5	5.02E-07
2	2	0	2.41E-06
2	2	1	2.09E-06
2	2	2	1.47E-06
2	2	3	9.74E-07
2	2	4	6.50E-07
2	2	5	4.50E-07
2	3	0	1.34E-06
2	3	1	1.23E-06
2	3	2	9.74E-07
2	3	3	7.21E-07
2	3	4	5.22E-07
2	3	5	3.81E-07
2	4	0	8.05E-07
2	4	1	7.61E-07
2	4	2	6.50E-07
2	4	3	5.22E-07
2	4	4	4.06E-07
2	4	5	3.13E-07
2	5	0	5.21E-07
2	5	1	5.02E-07
2	5	2	4.50E-07
2	5	3	3.81E-07
2	5	4	3.13E-07
2	5	5	2.54E-07
3	0	0	2.08E-06
3	0	1	1.83E-06
3	0	2	1.34E-06
3	0	3	9.13E-07
3	0	4	6.21E-07
3	0	5	4.34E-07
3	1	0	1.83E-06
3	1	1	1.63E-06
3	1	2	1.23E-06
3	1	3	8.55E-07
3	1	4	5.93E-07
3	1	5	4.19E-07
3	2	0	1.34E-06
3	2	1	1.23E-06
3	2	2	9.74E-07
3	2	3	7.21E-07
3	2	4	5.22E-07
3	2	5	3.81E-07
3	3	0	9.13E-07
3	3	1	8.55E-07
3	3	2	7.21E-07
3	3	3	5.69E-07
3	3	4	4.34E-07
3	3	5	3.29E-07
3	4	0	6.21E-07
3	4	1	5.93E-07
3	4	2	5.22E-07
3	4	3	4.34E-07
3	4	4	3.48E-07
3	4	5	2.77E-07
3	5	0	4.34E-07
3	5	1	4.19E-07
3	5	2	3.81E-07
3	5	3	3.29E-07
3	5	4	2.77E-07
3	5	5	2.28E-07
4	0	0	1.05E-06
4	0	1	9.75E-07
4	0	2	8.05E-07
4	0	3	6.21E-07
4	0	4	4.65E-07
4	0	5	3.49E-07
4	1	0	9.75E-07
4	1	1	9.13E-07
4	1	2	7.61E-07
4	1	3	5.93E-07
4	1	4	4.49E-07
4	1	5	3.39E-07
4	2	0	8.05E-07
4	2	1	7.61E-07
4	2	2	6.50E-07
4	2	3	5.22E-07
4	2	4	4.06E-07
4	2	5	3.13E-07
4	3	0	6.21E-07
4	3	1	5.93E-07
4	3	2	5.22E-07
4	3	3	4.34E-07
4	3	4	3.48E-07
4	3	5	2.77E-07
4	4	0	4.65E-07
4	4	1	4.49E-07
4	4	2	4.06E-07
4	4	3	3.48E-07
4	4	4	2.91E-07
4	4	5	2.37E-07
