Y90 - 5mm - Bone compact			
i	j	k	S [mGy/(MBqús)]
0	0	0	4.09E-01
0	0	1	3.16E-02
0	0	2	5.05E-06
0	0	3	1.56E-06
0	0	4	7.86E-07
0	0	5	4.66E-07
0	1	0	3.16E-02
0	1	1	3.60E-03
0	1	2	3.31E-06
0	1	3	1.37E-06
0	1	4	7.32E-07
0	1	5	4.46E-07
0	2	0	5.05E-06
0	2	1	3.31E-06
0	2	2	1.80E-06
0	2	3	1.00E-06
0	2	4	6.05E-07
0	2	5	3.92E-07
0	3	0	1.56E-06
0	3	1	1.37E-06
0	3	2	1.00E-06
0	3	3	6.84E-07
0	3	4	4.67E-07
0	3	5	3.26E-07
0	4	0	7.86E-07
0	4	1	7.32E-07
0	4	2	6.05E-07
0	4	3	4.67E-07
0	4	4	3.50E-07
0	4	5	2.62E-07
0	5	0	4.66E-07
0	5	1	4.46E-07
0	5	2	3.92E-07
0	5	3	3.26E-07
0	5	4	2.62E-07
0	5	5	2.07E-07
1	0	0	3.16E-02
1	0	1	3.60E-03
1	0	2	3.31E-06
1	0	3	1.37E-06
1	0	4	7.32E-07
1	0	5	4.46E-07
1	1	0	3.60E-03
1	1	1	4.69E-04
1	1	2	2.58E-06
1	1	3	1.23E-06
1	1	4	6.85E-07
1	1	5	4.27E-07
1	2	0	3.31E-06
1	2	1	2.58E-06
1	2	2	1.56E-06
1	2	3	9.21E-07
1	2	4	5.72E-07
1	2	5	3.78E-07
1	3	0	1.37E-06
1	3	1	1.23E-06
1	3	2	9.21E-07
1	3	3	6.42E-07
1	3	4	4.46E-07
1	3	5	3.16E-07
1	4	0	7.32E-07
1	4	1	6.85E-07
1	4	2	5.72E-07
1	4	3	4.46E-07
1	4	4	3.38E-07
1	4	5	2.55E-07
1	5	0	4.46E-07
1	5	1	4.27E-07
1	5	2	3.78E-07
1	5	3	3.16E-07
1	5	4	2.55E-07
1	5	5	2.02E-07
2	0	0	5.05E-06
2	0	1	3.31E-06
2	0	2	1.80E-06
2	0	3	1.00E-06
2	0	4	6.05E-07
2	0	5	3.92E-07
2	1	0	3.31E-06
2	1	1	2.58E-06
2	1	2	1.56E-06
2	1	3	9.21E-07
2	1	4	5.72E-07
2	1	5	3.78E-07
2	2	0	1.80E-06
2	2	1	1.56E-06
2	2	2	1.11E-06
2	2	3	7.31E-07
2	2	4	4.89E-07
2	2	5	3.38E-07
2	3	0	1.00E-06
2	3	1	9.21E-07
2	3	2	7.31E-07
2	3	3	5.42E-07
2	3	4	3.92E-07
2	3	5	2.86E-07
2	4	0	6.05E-07
2	4	1	5.72E-07
2	4	2	4.89E-07
2	4	3	3.92E-07
2	4	4	3.05E-07
2	4	5	2.35E-07
2	5	0	3.92E-07
2	5	1	3.78E-07
2	5	2	3.38E-07
2	5	3	2.86E-07
2	5	4	2.35E-07
2	5	5	1.89E-07
3	0	0	1.56E-06
3	0	1	1.37E-06
3	0	2	1.00E-06
3	0	3	6.84E-07
3	0	4	4.67E-07
3	0	5	3.26E-07
3	1	0	1.37E-06
3	1	1	1.23E-06
3	1	2	9.21E-07
3	1	3	6.42E-07
3	1	4	4.46E-07
3	1	5	3.16E-07
3	2	0	1.00E-06
3	2	1	9.21E-07
3	2	2	7.31E-07
3	2	3	5.42E-07
3	2	4	3.92E-07
3	2	5	2.86E-07
3	3	0	6.84E-07
3	3	1	6.42E-07
3	3	2	5.42E-07
3	3	3	4.28E-07
3	3	4	3.27E-07
3	3	5	2.47E-07
3	4	0	4.67E-07
3	4	1	4.46E-07
3	4	2	3.92E-07
3	4	3	3.27E-07
3	4	4	2.62E-07
3	4	5	2.07E-07
3	5	0	3.26E-07
3	5	1	3.16E-07
3	5	2	2.86E-07
3	5	3	2.47E-07
3	5	4	2.07E-07
3	5	5	1.70E-07
4	0	0	7.86E-07
4	0	1	7.32E-07
4	0	2	6.05E-07
4	0	3	4.67E-07
4	0	4	3.50E-07
4	0	5	2.62E-07
4	1	0	7.32E-07
4	1	1	6.85E-07
4	1	2	5.72E-07
4	1	3	4.46E-07
4	1	4	3.38E-07
4	1	5	2.55E-07
4	2	0	6.05E-07
4	2	1	5.72E-07
4	2	2	4.89E-07
4	2	3	3.92E-07
4	2	4	3.05E-07
4	2	5	2.35E-07
4	3	0	4.67E-07
4	3	1	4.46E-07
4	3	2	3.92E-07
4	3	3	3.27E-07
4	3	4	2.62E-07
4	3	5	2.07E-07
4	4	0	3.50E-07
4	4	1	3.38E-07
4	4	2	3.05E-07
4	4	3	2.62E-07
4	4	4	2.18E-07
4	4	5	1.77E-07
4	5	0	2.62E-07
4	5	1	2.55E-07
4	5	2	2.35E-07
4	5	3	2.07E-07
4	5	4	1.77E-07
4	5	5	1.48E-07
5	0	0	4.66E-07
