Y90 - 6mm - Soft tissue			
i	j	k	S [mGy/(MBq·s)]
0	0	0	3.42E-01
0	0	1	3.80E-02
0	0	2	1.31E-04
0	0	3	7.59E-07
0	0	4	3.91E-07
0	0	5	2.37E-07
0	1	0	3.80E-02
0	1	1	6.86E-03
0	1	2	2.87E-05
0	1	3	6.71E-07
0	1	4	3.64E-07
0	1	5	2.26E-07
0	2	0	1.31E-04
0	2	1	2.87E-05
0	2	2	9.07E-07
0	2	3	4.94E-07
0	2	4	3.04E-07
0	2	5	2.01E-07
0	3	0	7.59E-07
0	3	1	6.71E-07
0	3	2	4.94E-07
0	3	3	3.42E-07
0	3	4	2.36E-07
0	3	5	1.68E-07
0	4	0	3.91E-07
0	4	1	3.64E-07
0	4	2	3.04E-07
0	4	3	2.36E-07
0	4	4	1.80E-07
0	4	5	1.37E-07
0	5	0	2.37E-07
0	5	1	2.26E-07
0	5	2	2.01E-07
0	5	3	1.68E-07
0	5	4	1.37E-07
0	5	5	1.10E-07
1	0	0	3.80E-02
1	0	1	6.86E-03
1	0	2	2.87E-05
1	0	3	6.71E-07
1	0	4	3.64E-07
1	0	5	2.26E-07
1	1	0	6.86E-03
1	1	1	1.45E-03
1	1	2	6.77E-06
1	1	3	6.01E-07
1	1	4	3.41E-07
1	1	5	2.17E-07
1	2	0	2.87E-05
1	2	1	6.77E-06
1	2	2	7.67E-07
1	2	3	4.55E-07
1	2	4	2.87E-07
1	2	5	1.93E-07
1	3	0	6.71E-07
1	3	1	6.01E-07
1	3	2	4.55E-07
1	3	3	3.21E-07
1	3	4	2.26E-07
1	3	5	1.63E-07
1	4	0	3.64E-07
1	4	1	3.41E-07
1	4	2	2.87E-07
1	4	3	2.26E-07
1	4	4	1.74E-07
1	4	5	1.33E-07
1	5	0	2.26E-07
1	5	1	2.17E-07
1	5	2	1.93E-07
1	5	3	1.63E-07
1	5	4	1.33E-07
1	5	5	1.08E-07
2	0	0	1.31E-04
2	0	1	2.87E-05
2	0	2	9.07E-07
2	0	3	4.94E-07
2	0	4	3.04E-07
2	0	5	2.01E-07
2	1	0	2.87E-05
2	1	1	6.77E-06
2	1	2	7.67E-07
2	1	3	4.55E-07
2	1	4	2.87E-07
2	1	5	1.93E-07
2	2	0	9.07E-07
2	2	1	7.67E-07
2	2	2	5.43E-07
2	2	3	3.64E-07
2	2	4	2.47E-07
2	2	5	1.74E-07
2	3	0	4.94E-07
2	3	1	4.55E-07
2	3	2	3.64E-07
2	3	3	2.72E-07
2	3	4	2.00E-07
2	3	5	1.49E-07
2	4	0	3.04E-07
2	4	1	2.87E-07
2	4	2	2.47E-07
2	4	3	2.00E-07
2	4	4	1.58E-07
2	4	5	1.24E-07
2	5	0	2.01E-07
2	5	1	1.93E-07
2	5	2	1.74E-07
2	5	3	1.49E-07
2	5	4	1.24E-07
2	5	5	1.01E-07
3	0	0	7.59E-07
3	0	1	6.71E-07
3	0	2	4.94E-07
3	0	3	3.42E-07
3	0	4	2.36E-07
3	0	5	1.68E-07
3	1	0	6.71E-07
3	1	1	6.01E-07
3	1	2	4.55E-07
3	1	3	3.21E-07
3	1	4	2.26E-07
3	1	5	1.63E-07
3	2	0	4.94E-07
3	2	1	4.55E-07
3	2	2	3.64E-07
3	2	3	2.72E-07
3	2	4	2.00E-07
3	2	5	1.49E-07
3	3	0	3.42E-07
3	3	1	3.21E-07
3	3	2	2.72E-07
3	3	3	2.17E-07
3	3	4	1.68E-07
3	3	5	1.30E-07
3	4	0	2.36E-07
3	4	1	2.26E-07
3	4	2	2.00E-07
3	4	3	1.68E-07
3	4	4	1.37E-07
3	4	5	1.10E-07
3	5	0	1.68E-07
3	5	1	1.63E-07
3	5	2	1.49E-07
3	5	3	1.30E-07
3	5	4	1.10E-07
3	5	5	9.16E-08
4	0	0	3.91E-07
4	0	1	3.64E-07
4	0	2	3.04E-07
4	0	3	2.36E-07
4	0	4	1.80E-07
4	0	5	1.37E-07
4	1	0	3.64E-07
4	1	1	3.41E-07
4	1	2	2.87E-07
4	1	3	2.26E-07
4	1	4	1.74E-07
4	1	5	1.33E-07
4	2	0	3.04E-07
4	2	1	2.87E-07
4	2	2	2.47E-07
4	2	3	2.00E-07
4	2	4	1.58E-07
4	2	5	1.24E-07
4	3	0	2.36E-07
4	3	1	2.26E-07
4	3	2	2.00E-07
4	3	3	1.68E-07
4	3	4	1.37E-07
4	3	5	1.10E-07
4	4	0	1.80E-07
4	4	1	1.74E-07
4	4	2	1.58E-07
4	4	3	1.37E-07
4	4	4	1.15E-07
4	4	5	9.51E-08
4	5	0	1.37E-07
4	5	1	1.33E-07
4	5	2	1.24E-07
4	5	3	1.10E-07
4	5	4	9.51E-08
4	5	5	8.11E-08
5	0	0	2.37E-07
5	0	1	2.26E-07
5	0	2	2.01E-07
5	0	3	1.68E-07
5	0	4	1.37E-07
5	0	5	1.10E-07
5	1	0	2.26E-07
5	1	1	2.17E-07
5	1	2	1.93E-07
5	1	3	1.63E-07
5	1	4	1.33E-07
5	1	5	1.08E-07
5	2	0	2.01E-07
5	2	1	1.93E-07
5	2	2	1.74E-07
5	2	3	1.49E-07
5	2	4	1.24E-07
5	2	5	1.01E-07
5	3	0	1.68E-07
5	3	1	1.63E-07
5	3	2	1.49E-07
5	3	3	1.30E-07
5	3	4	1.10E-07
5	3	5	9.16E-08
5	4	0	1.37E-07
5	4	1	1.33E-07
5	4	2	1.24E-07
5	4	3	1.10E-07
5	4	4	9.51E-08
5	4	5	8.11E-08
5	5	0	1.10E-07
5	5	1	1.08E-07
5	5	2	1.01E-07
5	5	3	9.16E-08
5	5	4	8.11E-08
5	5	5	7.04E-08
